verb;tense;person;conjugation
[verstehen];futur_1_indikativ;5;[werdet verstehen]
[verstehen];futur_1_konjunktiv_1;5;[werdet verstehen]
[verstehen];futur_1_konjunktiv_2;5;[würdet verstehen]
[verstehen];futur_1_indikativ;6;[werden verstehen]
[verstehen];futur_1_konjunktiv_1;6;[werden verstehen]
[verstehen];futur_1_konjunktiv_2;6;[würden verstehen]
[verstehen];futur_2_indikativ;1;[werde verstanden haben]
[verstehen];futur_2_konjunktiv_1;1;[werde verstanden haben]
[verstehen];futur_2_konjunktiv_2;1;[würde verstanden haben]
[verstehen];futur_2_indikativ;2;[wirst verstanden haben]
[verstehen];futur_2_konjunktiv_1;2;[werdest verstanden haben]
[verstehen];futur_2_konjunktiv_2;2;[würdest verstanden haben]
[verstehen];futur_2_indikativ;3;[wird verstanden haben]
[verstehen];futur_2_konjunktiv_1;3;[werde verstanden haben]
[verstehen];futur_2_konjunktiv_2;3;[würde verstanden haben]
[verstehen];futur_2_indikativ;4;[werden verstanden haben]
[verstehen];futur_2_konjunktiv_1;4;[werden verstanden haben]
[verstehen];futur_2_konjunktiv_2;4;[würden verstanden haben]
[verstehen];futur_2_indikativ;5;[werdet verstanden haben]
[verstehen];futur_2_konjunktiv_1;5;[werdet verstanden haben]
[verstehen];futur_2_konjunktiv_2;5;[würdet verstanden haben]
[verstehen];futur_2_indikativ;6;[werden verstanden haben]
[verstehen];futur_2_konjunktiv_1;6;[werden verstanden haben]
[verstehen];futur_2_konjunktiv_2;6;[würden verstanden haben]
[kennen];imperativ;2;"[kenn;kenne]"
[kennen];imperativ;5;[kennt]
[kennen];imperativ;6;[kennen Sie]
[kennen];praesens_indikativ;1;[kenne]
[kennen];praesens_konjunktiv_1;1;[kenne]
[kennen];praesens_indikativ;2;[kennst]
[kennen];praesens_konjunktiv_1;2;[kennest]
[kennen];praesens_indikativ;3;[kennt]
[kennen];praesens_konjunktiv_1;3;[kenne]
[kennen];praesens_indikativ;4;[kennen]
[kennen];praesens_konjunktiv_1;4;[kennen]
[kennen];praesens_indikativ;5;[kennt]
[kennen];praesens_konjunktiv_1;5;[kennet]
[kennen];praesens_indikativ;6;[kennen]
[kennen];praesens_konjunktiv_1;6;[kennen]
